,회사명,ROA,PER
456,동화기업,7.13,10.26
457,동화약품,2.53,11.35
458,두산,2.63,-36.33
459,두산건설,0.28,-0.56
460,두산건설,0.0,-0.56
461,두산밥캣,0.0,24.29
462,두산엔진,0.21,-6.45
463,두산인프라코어,4.25,-37.8
464,두산중공업,2.5,-3.86
465,두올,0.0,8.34
466,두올산업,-4.88,8.06
467,드래곤플라이,1.95,-27.32
468,디비케이,-14.23,119.68
469,디스플레이텍,2.17,10.13
470,디씨엠,9.95,7.91
471,디아이,5.62,23.31
472,디아이씨,4.54,12.42
473,디알텍,0.0,-122.88
474,디에스케이,1.93,94.84
475,디에스티로봇,-11.46,15.29
476,디에이치피코리아,15.64,13.92
477,디에이테크놀로지,7.4,20.65
478,디에이피,0.57,24.16
479,디엔에이링크,-28.54,-32.21
480,디엔에프,12.83,13.12
481,디엠씨,10.65,-33.39
482,디엠티,-5.07,-5.71
483,디오,22.49,32.98
484,디와이,2.49,9.57
485,디와이파워,5.25,10.93
486,디이엔티,-12.84,8.22
487,디젠스,9.57,-20.94
488,디지아이,-0.05,-30.08
489,디지탈옵틱,-12.71,-1.29
490,디지털대성,23.98,10.28
491,디지틀조선,7.73,16.71
492,디케이디앤아이,4.28,11.01
493,디케이락,3.74,21.97
494,디티앤씨,4.58,20.68
495,디피씨,8.81,27.58
496,딜리,6.37,15.08
497,라온시큐어,14.99,73.6
498,라이브플렉스,1.77,52.46
499,라이온켐텍,15.6,20.18
500,락앤락,7.83,28.57
501,램테크놀러지,-3.88,-70.5
502,랩지노믹스,-2.19,-170.86
503,레고켐바이오,-11.4,-42.04
504,레드로버,1.62,1126.58
505,레드캡투어,5.3,13.59
506,레이언스,10.48,23.37
507,레이젠,-15.69,-1.66
508,로고스바이오,0.0,-41.42
509,로보스타,7.24,16.27
510,로스웰,21.99,6.1
511,로엔,20.11,39.38
512,로지시스,5.15,42.7
513,로체시스템즈,15.52,7.06
514,롯데관광개발,2.12,159.57
515,롯데손해보험,-0.68,6.89
516,롯데쇼핑,1.73,-13.34
517,롯데정밀화학,2.58,22.16
518,롯데제과,5.11,0.0
519,롯데칠성,4.96,-5.57
520,롯데케미칼,18.19,5.93
521,롯데푸드,10.19,21.59
522,롯데하이마트,8.97,11.47
523,루멘스,-3.11,22.44
524,루미마이크로,-0.48,-16.2
525,루트로닉,3.02,-55.7
526,룽투코리아,13.57,-16.08
527,리노공업,20.13,22.52
528,리노스,0.99,31.84
529,리더스코스메틱,15.93,7.9
530,리드,-28.12,-92.48
531,리드코프,5.46,5.06
532,리켐,-10.16,-0.6
533,링네트,3.12,15.66
534,마니커,4.25,8.51
535,마이크로컨텍솔,0.65,-16.38
536,마이크로프랜드,34.58,16.89
537,마제스타,-31.88,-2.87
538,마크로젠,0.82,304.88
539,만도,7.34,56.8
540,만호제강,0.56,14.99
541,매일유업,8.89,22.28
542,매직마이크로,-13.25,-7.14
543,매커스,6.51,19.37
544,맥스로텍,-7.06,-4.15
545,멀티캠퍼스,13.23,14.61
546,메가스터디,2.2,-194.57
547,메가스터디교육,15.45,24.59
548,메가엠디,4.6,-18.15
549,메디아나,13.59,12.17
550,메디톡스,26.8,52.31
551,메디포스트,-5.46,-35121.12
552,메디프론,-3.11,-65.93
553,메리츠금융지주,2.07,6.46
554,메리츠종금증권,1.8,10.02
555,메리츠화재,2.46,7.41
556,메이슨캐피탈,0.0,-7.0
557,메지온,-6.46,-48.33
558,메타바이오메드,5.91,338.97
559,멕아이씨에스,-8.37,-44.18
560,멜파스,1.78,-7.86
561,명문제약,4.11,20.75
562,모나리자,9.32,39.55
563,모나미,2.53,21.28
