"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190130 ~ 20190228"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"서울특별시 강동구 성내동","605","0605","0000","파라디아","84.92","201902","11~20","68,000","1","2010","천호옛길"
"서울특별시 강동구 성내동","601","0601","0000","하나플러스2","84.99","201902","11~20","73,600","8","2004","양재대로85길"
"서울특별시 강동구 암사동","488-3","0488","0003","다성이즈빌Ⅰ","84.84","201902","11~20","41,800","2","2009","상암로23길"
"서울특별시 강동구 암사동","493-14","0493","0014","중앙하이츠","59.52","201902","21~28","41,600","10","1998","올림픽로98가길"
"서울특별시 강동구 천호동","155-5","0155","0005","강동역두산위브센티움","59.96","201901","21~31","51,000","11","2004","성안로"
"서울특별시 강동구 천호동","425-5","0425","0005","대우한강베네시티","114.63","201902","11~20","75,500","21","2007","올림픽로"
"서울특별시 강동구 천호동","567","0567","0000","동구햇살아파트","91.16","201902","21~28","48,000","7","2002","상암로41길"
"서울특별시 강동구 천호동","563","0563","0000","동아코아아파트","84.24","201902","11~20","44,800","9","1997","구천면로"
"서울특별시 강동구 천호동","217-132","0217","0132","동아하이빌아파트","114.98","201902","21~28","67,800","14","2000","구천면로"
"서울특별시 강동구 천호동","571","0571","0000","래미안강동팰리스","84.97","201902","1~10","123,000","43","2017","천호대로"
"서울특별시 강동구 천호동","564","0564","0000","성원아파트","60","201902","21~28","44,300","6","1998","진황도로31길"
"서울특별시 강동구 천호동","19-1","0019","0001","우성","84.93","201902","11~20","60,000","13","1985","구천면로"
"서울특별시 강동구 천호동","361-1","0361","0001","제일아파트","59.49","201902","11~20","39,500","6","1995","천중로12길"
"서울특별시 강동구 천호동","55-4","0055","0004","천호롯데아파트","59.99","201902","11~20","40,500","16","1999","천중로"
"서울특별시 강동구 천호동","410-100","0410","0100","코오롱상가아파트","82.5","201902","11~20","45,000","3","1988","진황도로"
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","81.9853","201902","21~28","51,500","6","2008","삼양로74길"
"서울특별시 강북구 미아동","4","0004","0000","꿈의숲롯데캐슬","104.53","201902","21~28","81,000","3","2017","오현로"
"서울특별시 강북구 미아동","811","0811","0000","두산위브트레지움","59.54","201902","1~10","52,000","16","2011","삼양로27길"
"서울특별시 강북구 미아동","811","0811","0000","두산위브트레지움","84.97","201902","1~10","60,000","13","2011","삼양로27길"
"서울특별시 강북구 미아동","811","0811","0000","두산위브트레지움","59.54","201902","1~10","55,000","2","2011","삼양로27길"
"서울특별시 강북구 미아동","813","0813","0000","래미안트리베라1단지","59.6","201902","21~28","54,000","9","2010","삼양로19길"
"서울특별시 강북구 미아동","1354","1354","0000","벽산라이브파크","60","201902","21~28","35,600","2","2004","솔샘로"
"서울특별시 강북구 미아동","812","0812","0000","삼성래미안트리베라2단지","84.15","201902","1~10","71,000","22","2010","삼양로27길"
"서울특별시 강북구 미아동","812","0812","0000","삼성래미안트리베라2단지","84.15","201902","21~28","66,000","6","2010","삼양로27길"
"서울특별시 강북구 미아동","461","0461","0000","송천센트레빌","84.965","201902","11~20","65,000","11","2010","숭인로"
"서울특별시 강북구 미아동","1353","1353","0000","에스케이북한산시티","59.98","201901","21~31","42,500","7","2004","솔샘로"
"서울특별시 강북구 미아동","1353","1353","0000","에스케이북한산시티","59.98","201902","1~10","42,000","19","2004","솔샘로"
"서울특별시 강북구 미아동","1353","1353","0000","에스케이북한산시티","59.98","201902","11~20","41,500","25","2004","솔샘로"
"서울특별시 강북구 미아동","1353","1353","0000","에스케이북한산시티","59.98","201902","11~20","45,800","12","2004","솔샘로"
"서울특별시 강북구 미아동","1353","1353","0000","에스케이북한산시티","114.85","201902","11~20","56,800","10","2004","솔샘로"
"서울특별시 강북구 미아동","160-3","0160","0003","푸르지오시티","18.6479","201902","1~10","15,200","10","2014","도봉로"
"서울특별시 강북구 미아동","160-3","0160","0003","푸르지오시티","37.4389","201902","11~20","26,000","18","2014","도봉로"
"서울특별시 강북구 미아동","160-3","0160","0003","푸르지오시티","18.6479","201902","11~20","15,000","12","2014","도봉로"
"서울특별시 강북구 미아동","160-3","0160","0003","푸르지오시티","18.6479","201902","21~28","15,250","10","2014","도봉로"
"서울특별시 강북구 미아동","190-2","0190","0002","현대(190-2)","84.91","201902","21~28","46,000","4","1992","도봉로68길"
"서울특별시 강북구 번동","136","0136","0000","번동솔그린","84.6","201902","11~20","37,800","18","1999","한천로109길"
"서울특별시 강북구 번동","136","0136","0000","번동솔그린","59.82","201902","11~20","30,300","16","1999","한천로109길"
"서울특별시 강북구 번동","136","0136","0000","번동솔그린","59.82","201902","11~20","31,100","12","1999","한천로109길"
"서울특별시 강북구 번동","470-1","0470","0001","삼성","59.77","201902","1~10","35,000","11","1998","도봉로98길"
"서울특별시 강북구 번동","204","0204","0000","신원","59.96","201902","11~20","29,000","4","2000","월계로37길"
"서울특별시 강북구 번동","138","0138","0000","한솔솔파크","84.88","201902","11~20","43,000","4","2005","오현로"
"서울특별시 강북구 수유동","562-4","0562","0004","진안골드밸리","136.75","201901","21~31","45,500","5","2001","4.19로11길"
"서울특별시 강북구 수유동","51-7","0051","0007","태솔타워","68.6","201902","11~20","35,000","6","2010","도봉로71가길"
"서울특별시 강북구 수유동","461-13","0461","0013","화계맨숀","58.51","201902","21~28","13,900","1","1975","덕릉로"
"서울특별시 강서구 가양동","1485","1485","0000","가양6단지","49.5","201901","21~31","50,500","3","1992","허준로"
"서울특별시 강서구 가양동","1475","1475","0000","강변","34.44","201902","11~20","36,500","7","1992","허준로"
"서울특별시 강서구 가양동","1475","1475","0000","강변","34.44","201902","11~20","34,900","5","1992","허준로"
"서울특별시 강서구 가양동","1475","1475","0000","강변","49.5","201902","11~20","51,000","9","1992","허준로"
"서울특별시 강서구 내발산동","759","0759","0000","마곡수명산파크6단지","84.68","201901","21~31","72,000","9","2007","수명로2길"
"서울특별시 강서구 내발산동","756","0756","0000","마곡수명산파크7단지","84.82","201902","21~28","60,000","11","2008","수명로2가길"
"서울특별시 강서구 등촌동","691-1","0691","0001","동성","101.88","201902","1~10","70,400","5","1995","강서로68길"
"서울특별시 강서구 등촌동","691-3","0691","0003","부영","80.64","201902","11~20","67,000","13","1994","강서로56나길"
"서울특별시 강서구 등촌동","562-5","0562","0005","임광","59.34","201902","21~28","43,700","7","2000","등촌로"
"서울특별시 강서구 마곡동","748","0748","0000","마곡13단지힐스테이트마스터","59.9825","201902","1~10","83,000","3","2017","마곡중앙1로"
"서울특별시 강서구 마곡동","746-1","0746","0001","마곡엠밸리12단지","84.89","201902","11~20","101,000","6","2016","공항대로"
"서울특별시 강서구 마곡동","741","0741","0000","마곡엠밸리8단지","59.79","201902","21~28","89,500","9","2016","마곡서1로"
"서울특별시 강서구 마곡동","750","0750","0000","마곡엠벨리(14단지)","84.88","201901","21~31","90,000","4","2014","마곡중앙로"
"서울특별시 강서구 마곡동","751","0751","0000","마곡엠벨리(15단지)","84.88","201902","11~20","90,000","6","2014","마곡중앙로"
"서울특별시 강서구 마곡동","422","0422","0000","신안","59.98","201902","11~20","65,000","6","1993","양천로30길"
"서울특별시 강서구 방화동","874","0874","0000","대림e-편한세상","84.67","201902","21~28","62,000","13","2003","양천로6길"
"서울특별시 강서구 방화동","839","0839","0000","방화그린","39.76","201902","1~10","30,500","8","1993","방화대로48길"
"서울특별시 강서구 방화동","839","0839","0000","방화그린","49.77","201902","11~20","40,800","13","1993","방화대로48길"
"서울특별시 강서구 방화동","903","0903","0000","신세계아파트","64.46","201901","21~31","35,300","3","2018","양천로10길"
"서울특별시 강서구 방화동","841","0841","0000","장미","39.96","201902","11~20","31,000","6","1994","양천로"
"서울특별시 강서구 방화동","832","0832","0000","청솔","49.2","201902","11~20","33,000","6","1994","방화대로47길"
"서울특별시 강서구 방화동","547-11","0547","0011","한오","47.06","201901","21~31","21,000","1","1988","양천로14길"
"서울특별시 강서구 방화동","579","0579","0000","한진로즈힐","59.92","201902","11~20","45,000","7","2004","양천로24가길"
"서울특별시 강서구 염창동","292","0292","0000","동아","59.97","201901","21~31","51,000","8","1998","양천로69길"
"서울특별시 강서구 염창동","255","0255","0000","무학","84.64","201902","11~20","63,500","11","1999","양천로77길"
"서울특별시 강서구 염창동","305","0305","0000","염창1차보람더하임","84.98","201902","21~28","73,500","6","2008","양천로"
"서울특별시 강서구 염창동","281-22","0281","0022","염창1차한화꿈에그린","84.93","201902","11~20","91,000","5","2005","공항대로75길"
"서울특별시 강서구 염창동","302","0302","0000","염창2차한화꿈에그린","59.99","201902","11~20","62,000","8","2006","공항대로63길"
"서울특별시 강서구 염창동","288","0288","0000","현대1","84.77","201902","21~28","58,800","11","1994","양천로75길"
"서울특별시 강서구 염창동","291","0291","0000","현대3","59.92","201902","11~20","47,000","15","1996","양천로75길"
"서울특별시 강서구 화곡동","1071-19","1071","0019","강서뉴타워","83.13","201901","21~31","40,000","7","2013","화곡로18길"
"서울특별시 강서구 화곡동","1071-19","1071","0019","강서뉴타워","78.93","201902","1~10","41,000","4","2013","화곡로18길"
"서울특별시 강서구 화곡동","1071-19","1071","0019","강서뉴타워","78.93","201902","11~20","42,000","5","2013","화곡로18길"
"서울특별시 강서구 화곡동","1071-19","1071","0019","강서뉴타워","82.88","201902","11~20","42,500","15","2013","화곡로18길"
"서울특별시 강서구 화곡동","1071-19","1071","0019","강서뉴타워","78.93","201902","11~20","41,000","2","2013","화곡로18길"
"서울특별시 강서구 화곡동","1161","1161","0000","강서동도센트리움","14.677","201901","21~31","10,100","7","2012","공항대로46길"
"서울특별시 강서구 화곡동","917-5","0917","0005","남광아파트","45.47","201902","21~28","24,000","5","2015","곰달래로22길"
"서울특별시 강서구 화곡동","361-1","0361","0001","대림","84.84","201902","11~20","41,000","2","1992","월정로"
"서울특별시 강서구 화곡동","361-1","0361","0001","대림","110.26","201902","21~28","41,000","2","1992","월정로"
"서울특별시 강서구 화곡동","918-14","0918","0014","도양라비앙아파트","48.88","201902","21~28","28,400","2","2016","곰달래로22길"
"서울특별시 강서구 화곡동","924-1","0924","0001","리치아파트","19.81","201902","21~28","22,000","8","2018","월정로20길"
"서울특별시 강서구 화곡동","924-1","0924","0001","리치아파트","20.61","201902","21~28","22,500","8","2018","월정로20길"
"서울특별시 강서구 화곡동","343-35","0343","0035","성재센트리움아파트(343-35)","25.52","201902","21~28","19,700","8","2015","곰달래로23길"
"서울특별시 강서구 화곡동","392-58","0392","0058","에이원","49.81","201902","21~28","23,000","1","2005","강서로12길"
"서울특별시 강서구 화곡동","1145","1145","0000","우장산롯데캐슬","177.86","201902","21~28","104,500","14","2003","공항대로"
"서울특별시 강서구 화곡동","1159","1159","0000","우장산아이파크,이편한세상","84.97","201902","21~28","90,000","20","2008","강서로"
"서울특별시 강서구 화곡동","919-1","0919","0001","유림노르웨이숲(919-1)","64.05","201902","21~28","32,200","3","2004","곰달래로"
"서울특별시 강서구 화곡동","894-9","0894","0009","은하센트리움","34.29","201902","11~20","18,700","5","2013","강서로8길"
"서울특별시 강서구 화곡동","914-3","0914","0003","일성스카이빌","59.96","201902","11~20","25,400","10","2001","강서로5나길"
"서울특별시 강서구 화곡동","351-89","0351","0089","중앙화곡하이츠","56.88","201902","1~10","25,700","11","1988","강서로17가길"
"서울특별시 강서구 화곡동","887-11","0887","0011","태승","77.5","201902","11~20","34,500","6","2003","국회대로7길"
"서울특별시 강서구 화곡동","925-26","0925","0026","트리움팰리스","21.7","201902","11~20","10,700","5","2013","월정로20길"
